id,razon_social,nit,sector,empleados,ingresos_estimados,ciudad,zona,fuente,notas,estado,fecha_creacion,_source_row,id_original,id_normalizado,id_normalization_rule,id_was_inferred,razon_social_original,razon_social_normalizado,razon_social_normalization_rule,razon_social_was_inferred,nit_original,nit_normalizado,nit_normalization_rule,nit_was_inferred,sector_original,sector_normalizado,sector_normalization_rule,sector_was_inferred,empleados_original,empleados_normalizado,empleados_normalization_rule,empleados_was_inferred,ingresos_estimados_original,ingresos_estimados_normalizado,ingresos_estimados_normalization_rule,ingresos_estimados_was_inferred,ciudad_original,ciudad_normalizado,ciudad_normalization_rule,ciudad_was_inferred,zona_original,zona_normalizada,zona_normalization_rule,zona_was_inferred,fuente_original,fuente_normalizado,fuente_normalization_rule,fuente_was_inferred,notas_original,notas_normalizado,notas_normalization_rule,notas_was_inferred,estado_original,estado_normalizado,estado_normalization_rule,estado_was_inferred,fecha_creacion_original,fecha_creacion_normalizado,fecha_creacion_normalization_rule,fecha_creacion_was_inferred
13,Agropecuaria Vallecaucana S.A.S.,984201894-7,Agroindustria,12,696000000,Bogotá,Centro,referido,Tiene contrato vigente con otro proveedor hasta diciembre.,nuevo,2026-09-07,14,13,13,trim_unicode_nfc,False,Agropecuaria Vallecaucana S.A.S.,Agropecuaria Vallecaucana S.A.S.,trim_unicode_nfc,False,984201894-7,9842018947,nit_remove_formatting,False,Agroindustria,agroindustria,trim_unicode_casefold,False,12,12,nonnegative_decimal,False,696000000,696000000,nonnegative_decimal,False,Bogotá,Bogotá,trim_unicode_nfc,False,Centro,Centro,explicit_zone_alias,False,referido,referido,trim_unicode_casefold,False,Tiene contrato vigente con otro proveedor hasta diciembre.,Tiene contrato vigente con otro proveedor hasta diciembre.,trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-07,2026-09-07,iso_date,False
14,Textiles La Candelaria S. en C.,927559793-0,Servicios profesionales,80,6122000000,Medellín,ANT,campaña,,nuevo,2026-09-07,15,14,14,trim_unicode_nfc,False,Textiles La Candelaria S. en C.,Textiles La Candelaria S. en C.,trim_unicode_nfc,False,927559793-0,9275597930,nit_remove_formatting,False,Servicios profesionales,servicios profesionales,trim_unicode_casefold,False,80,80,nonnegative_decimal,False,6122000000,6122000000,nonnegative_decimal,False,Medellín,Medellín,trim_unicode_nfc,False,ANT,Antioquia,explicit_zone_alias,False,campaña,campaña,trim_unicode_casefold,False,,,missing,False,nuevo,nuevo,trim_casefold_status,False,2026-09-07,2026-09-07,iso_date,False
15,Soluciones Monserrate S.A.S.,916531782-4,Construcción,,1973000000,Cali,Occidente,lista,"Registro cargado desde base comprada, sin validar.",nuevo,2026-09-09,16,15,15,trim_unicode_nfc,False,Soluciones Monserrate S.A.S.,Soluciones Monserrate S.A.S.,trim_unicode_nfc,False,916531782-4,9165317824,nit_remove_formatting,False,Construcción,construcción,trim_unicode_casefold,False,,,missing,False,1973000000,1973000000,nonnegative_decimal,False,Cali,Cali,trim_unicode_nfc,False,Occidente,Occidente,explicit_zone_alias,False,lista,lista,trim_unicode_casefold,False,"Registro cargado desde base comprada, sin validar.","Registro cargado desde base comprada, sin validar.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-09,2026-09-09,iso_date,False
16,Comercializadora Las Palmas S.A.,951251562-0,Retail,260,17689000000,Cali,Occidente ,web,Solicitó información de eficiencia energética para planta nueva.,nuevo,2026-09-08,17,16,16,trim_unicode_nfc,False,Comercializadora Las Palmas S.A.,Comercializadora Las Palmas S.A.,trim_unicode_nfc,False,951251562-0,9512515620,nit_remove_formatting,False,Retail,retail,trim_unicode_casefold,False,260,260,nonnegative_decimal,False,17689000000,17689000000,nonnegative_decimal,False,Cali,Cali,trim_unicode_nfc,False,Occidente ,Occidente,explicit_zone_alias,False,web,web,trim_unicode_casefold,False,Solicitó información de eficiencia energética para planta nueva.,Solicitó información de eficiencia energética para planta nueva.,trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-08,2026-09-08,iso_date,False
17,Suministros Girardot S.A.,991596286-5,Inmobiliario,260,11298000000,Santa Marta,costa,evento,"Está comparando tres propuestas, decide este mes.",nuevo,2026-09-19,18,17,17,trim_unicode_nfc,False,Suministros Girardot S.A.,Suministros Girardot S.A.,trim_unicode_nfc,False,991596286-5,9915962865,nit_remove_formatting,False,Inmobiliario,inmobiliario,trim_unicode_casefold,False,260,260,nonnegative_decimal,False,11298000000,11298000000,nonnegative_decimal,False,Santa Marta,Santa Marta,trim_unicode_nfc,False,costa,Costa,explicit_zone_alias,False,evento,evento,trim_unicode_casefold,False,"Está comparando tres propuestas, decide este mes.","Está comparando tres propuestas, decide este mes.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-19,2026-09-19,iso_date,False
18,Constructora Tequendama S.A.,914599415-4,Agroindustria,260,11142000000,Bogotá,Centro,lista,,nuevo,2026-09-14,19,18,18,trim_unicode_nfc,False,Constructora Tequendama S.A.,Constructora Tequendama S.A.,trim_unicode_nfc,False,914599415-4,9145994154,nit_remove_formatting,False,Agroindustria,agroindustria,trim_unicode_casefold,False,260,260,nonnegative_decimal,False,11142000000,11142000000,nonnegative_decimal,False,Bogotá,Bogotá,trim_unicode_nfc,False,Centro,Centro,explicit_zone_alias,False,lista,lista,trim_unicode_casefold,False,,,missing,False,nuevo,nuevo,trim_casefold_status,False,2026-09-14,2026-09-14,iso_date,False
19,Inversiones Bolívar Ltda.,913615084-7,Minería,80,3828000000,Bucaramanga,centro,referido,"Quiere propuesta para siete sedes, no para una.",nuevo,2026-09-16,20,19,19,trim_unicode_nfc,False,Inversiones Bolívar Ltda.,Inversiones Bolívar Ltda.,trim_unicode_nfc,False,913615084-7,9136150847,nit_remove_formatting,False,Minería,minería,trim_unicode_casefold,False,80,80,nonnegative_decimal,False,3828000000,3828000000,nonnegative_decimal,False,Bucaramanga,Bucaramanga,trim_unicode_nfc,False,centro,Centro,explicit_zone_alias,False,referido,referido,trim_unicode_casefold,False,"Quiere propuesta para siete sedes, no para una.","Quiere propuesta para siete sedes, no para una.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-16,2026-09-16,iso_date,False
20,Manufacturas Zipaquirá S. en C.,912479572-8,Minería,120,4224000000,Bogotá,centro,evento,"Quiere propuesta para siete sedes, no para una.",Nuevo,2026-09-15,21,20,20,trim_unicode_nfc,False,Manufacturas Zipaquirá S. en C.,Manufacturas Zipaquirá S. en C.,trim_unicode_nfc,False,912479572-8,9124795728,nit_remove_formatting,False,Minería,minería,trim_unicode_casefold,False,120,120,nonnegative_decimal,False,4224000000,4224000000,nonnegative_decimal,False,Bogotá,Bogotá,trim_unicode_nfc,False,centro,Centro,explicit_zone_alias,False,evento,evento,trim_unicode_casefold,False,"Quiere propuesta para siete sedes, no para una.","Quiere propuesta para siete sedes, no para una.",trim_unicode_nfc,False,Nuevo,nuevo,trim_casefold_status,False,2026-09-15,2026-09-15,iso_date,False
21,Alimentos Monserrate S.A.S.,985662566-9,Química,80,6487000000,Bogotá,centro,referido,Lo refirió el gerente de una cuenta actual.,nuevo,2026-09-16,22,21,21,trim_unicode_nfc,False,Alimentos Monserrate S.A.S.,Alimentos Monserrate S.A.S.,trim_unicode_nfc,False,985662566-9,9856625669,nit_remove_formatting,False,Química,química,trim_unicode_casefold,False,80,80,nonnegative_decimal,False,6487000000,6487000000,nonnegative_decimal,False,Bogotá,Bogotá,trim_unicode_nfc,False,centro,Centro,explicit_zone_alias,False,referido,referido,trim_unicode_casefold,False,Lo refirió el gerente de una cuenta actual.,Lo refirió el gerente de una cuenta actual.,trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-16,2026-09-16,iso_date,False
22,Agropecuaria Antares S.A.S.,906430098-4,Manufactura,8,1528000000,Pereira,Occidente ,campaña,"Dejó los datos en el stand de la feria, mostró poco interés.",nuevo,2026-09-13,23,22,22,trim_unicode_nfc,False,Agropecuaria Antares S.A.S.,Agropecuaria Antares S.A.S.,trim_unicode_nfc,False,906430098-4,9064300984,nit_remove_formatting,False,Manufactura,manufactura,trim_unicode_casefold,False,8,8,nonnegative_decimal,False,1528000000,1528000000,nonnegative_decimal,False,Pereira,Pereira,trim_unicode_nfc,False,Occidente ,Occidente,explicit_zone_alias,False,campaña,campaña,trim_unicode_casefold,False,"Dejó los datos en el stand de la feria, mostró poco interés.","Dejó los datos en el stand de la feria, mostró poco interés.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-13,2026-09-13,iso_date,False
23,Grupo Monserrate S.A.S.,917968346-8,,180,4031000000,Chía,Centro,web,,nuevo,2026-09-08,24,23,23,trim_unicode_nfc,False,Grupo Monserrate S.A.S.,Grupo Monserrate S.A.S.,trim_unicode_nfc,False,917968346-8,9179683468,nit_remove_formatting,False,,,missing,False,180,180,nonnegative_decimal,False,4031000000,4031000000,nonnegative_decimal,False,Chía,Chía,trim_unicode_nfc,False,Centro,Centro,explicit_zone_alias,False,web,web,trim_unicode_casefold,False,,,missing,False,nuevo,nuevo,trim_casefold_status,False,2026-09-08,2026-09-08,iso_date,False
24,Logística Las Palmas S.A.S.,941532714-3,Transporte y logística,900,47307000000,Armenia,Occidente,campaña,"Quiere propuesta para siete sedes, no para una.",nuevo,2026-09-16,25,24,24,trim_unicode_nfc,False,Logística Las Palmas S.A.S.,Logística Las Palmas S.A.S.,trim_unicode_nfc,False,941532714-3,9415327143,nit_remove_formatting,False,Transporte y logística,transporte y logística,trim_unicode_casefold,False,900,900,nonnegative_decimal,False,47307000000,47307000000,nonnegative_decimal,False,Armenia,Armenia,trim_unicode_nfc,False,Occidente,Occidente,explicit_zone_alias,False,campaña,campaña,trim_unicode_casefold,False,"Quiere propuesta para siete sedes, no para una.","Quiere propuesta para siete sedes, no para una.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-16,2026-09-16,iso_date,False
25,Agropecuaria La Candelaria S.A.S.,983246305-8,Química,900,,Montería,Costa,referido,Llamar únicamente después de las 2 pm.,nuevo,2026-09-04,26,25,25,trim_unicode_nfc,False,Agropecuaria La Candelaria S.A.S.,Agropecuaria La Candelaria S.A.S.,trim_unicode_nfc,False,983246305-8,9832463058,nit_remove_formatting,False,Química,química,trim_unicode_casefold,False,900,900,nonnegative_decimal,False,,,missing,False,Montería,Montería,trim_unicode_nfc,False,Costa,Costa,explicit_zone_alias,False,referido,referido,trim_unicode_casefold,False,Llamar únicamente después de las 2 pm.,Llamar únicamente después de las 2 pm.,trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-04,2026-09-04,iso_date,False
26,Transportes Chicamocha S.A.,967891135-0,Servicios profesionales,12,693000000,Montería,Costa,referido,"Ya fue cliente en 2023, se retiró por precio.",nuevo,2026-09-05,27,26,26,trim_unicode_nfc,False,Transportes Chicamocha S.A.,Transportes Chicamocha S.A.,trim_unicode_nfc,False,967891135-0,9678911350,nit_remove_formatting,False,Servicios profesionales,servicios profesionales,trim_unicode_casefold,False,12,12,nonnegative_decimal,False,693000000,693000000,nonnegative_decimal,False,Montería,Montería,trim_unicode_nfc,False,Costa,Costa,explicit_zone_alias,False,referido,referido,trim_unicode_casefold,False,"Ya fue cliente en 2023, se retiró por precio.","Ya fue cliente en 2023, se retiró por precio.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-05,2026-09-05,iso_date,False
27,Industrias Orinoquía S.A.S.,941155275-9,Hotelería,900,52421000000,Tunja,,web,Tiene contrato vigente con otro proveedor hasta diciembre.,nuevo,2026-09-09,28,27,27,trim_unicode_nfc,False,Industrias Orinoquía S.A.S.,Industrias Orinoquía S.A.S.,trim_unicode_nfc,False,941155275-9,9411552759,nit_remove_formatting,False,Hotelería,hotelería,trim_unicode_casefold,False,900,900,nonnegative_decimal,False,52421000000,52421000000,nonnegative_decimal,False,Tunja,Tunja,trim_unicode_nfc,False,,,missing,False,web,web,trim_unicode_casefold,False,Tiene contrato vigente con otro proveedor hasta diciembre.,Tiene contrato vigente con otro proveedor hasta diciembre.,trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-09,2026-09-09,iso_date,False
28,Soluciones Las Palmas Ltda.,932476165-5,Textil,1400,71055000000,Cartagena,COSTA,web,Lo refirió el gerente de una cuenta actual.,nuevo,2026-09-05,29,28,28,trim_unicode_nfc,False,Soluciones Las Palmas Ltda.,Soluciones Las Palmas Ltda.,trim_unicode_nfc,False,932476165-5,9324761655,nit_remove_formatting,False,Textil,textil,trim_unicode_casefold,False,1400,1400,nonnegative_decimal,False,71055000000,71055000000,nonnegative_decimal,False,Cartagena,Cartagena,trim_unicode_nfc,False,COSTA,Costa,explicit_zone_alias,False,web,web,trim_unicode_casefold,False,Lo refirió el gerente de una cuenta actual.,Lo refirió el gerente de una cuenta actual.,trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-05,2026-09-05,iso_date,False
29,Servicios Monserrate Ltda.,932110868-6,Construcción,650,49488000000,Montería,costa,web,"Empresa familiar, decide el dueño directamente.",nuevo,2026-09-14,30,29,29,trim_unicode_nfc,False,Servicios Monserrate Ltda.,Servicios Monserrate Ltda.,trim_unicode_nfc,False,932110868-6,9321108686,nit_remove_formatting,False,Construcción,construcción,trim_unicode_casefold,False,650,650,nonnegative_decimal,False,49488000000,49488000000,nonnegative_decimal,False,Montería,Montería,trim_unicode_nfc,False,costa,Costa,explicit_zone_alias,False,web,web,trim_unicode_casefold,False,"Empresa familiar, decide el dueño directamente.","Empresa familiar, decide el dueño directamente.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-14,2026-09-14,iso_date,False
30,Logística El Poblado S.A.S.,925471761-1,Hotelería,2100,119599000000,Pereira,Occidente,referido,"Ya fue cliente en 2023, se retiró por precio.",nuevo,2026-09-15,31,30,30,trim_unicode_nfc,False,Logística El Poblado S.A.S.,Logística El Poblado S.A.S.,trim_unicode_nfc,False,925471761-1,9254717611,nit_remove_formatting,False,Hotelería,hotelería,trim_unicode_casefold,False,2100,2100,nonnegative_decimal,False,119599000000,119599000000,nonnegative_decimal,False,Pereira,Pereira,trim_unicode_nfc,False,Occidente,Occidente,explicit_zone_alias,False,referido,referido,trim_unicode_casefold,False,"Ya fue cliente en 2023, se retiró por precio.","Ya fue cliente en 2023, se retiró por precio.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-15,2026-09-15,iso_date,False
31,INVERSIONES EL POBLADO LTDA,950445842-8,Alimentos y bebidas,55,8320000000,Manizales,Occidente ,web,"Registro cargado desde base comprada, sin validar.",nuevo,2026-09-12,32,31,31,trim_unicode_nfc,False,INVERSIONES EL POBLADO LTDA,INVERSIONES EL POBLADO LTDA,trim_unicode_nfc,False,950445842-8,9504458428,nit_remove_formatting,False,Alimentos y bebidas,alimentos y bebidas,trim_unicode_casefold,False,55,55,nonnegative_decimal,False,8320000000,8320000000,nonnegative_decimal,False,Manizales,Manizales,trim_unicode_nfc,False,Occidente ,Occidente,explicit_zone_alias,False,web,web,trim_unicode_casefold,False,"Registro cargado desde base comprada, sin validar.","Registro cargado desde base comprada, sin validar.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-12,2026-09-12,iso_date,False
32,Suministros Cafetera Ltda.,961473710-3,Construcción,,17110000000,Cali,occidente,referido,,nuevo,2026-09-08,33,32,32,trim_unicode_nfc,False,Suministros Cafetera Ltda.,Suministros Cafetera Ltda.,trim_unicode_nfc,False,961473710-3,9614737103,nit_remove_formatting,False,Construcción,construcción,trim_unicode_casefold,False,,,missing,False,17110000000,17110000000,nonnegative_decimal,False,Cali,Cali,trim_unicode_nfc,False,occidente,Occidente,explicit_zone_alias,False,referido,referido,trim_unicode_casefold,False,,,missing,False,nuevo,nuevo,trim_casefold_status,False,2026-09-08,2026-09-08,iso_date,False
33,Inversiones Sierra Nevada Ltda.,943097053-0,Retail,120,8984000000,Medellín,Antioquia,web,Solicitó información de eficiencia energética para planta nueva.,nuevo,2026-09-11,34,33,33,trim_unicode_nfc,False,Inversiones Sierra Nevada Ltda.,Inversiones Sierra Nevada Ltda.,trim_unicode_nfc,False,943097053-0,9430970530,nit_remove_formatting,False,Retail,retail,trim_unicode_casefold,False,120,120,nonnegative_decimal,False,8984000000,8984000000,nonnegative_decimal,False,Medellín,Medellín,trim_unicode_nfc,False,Antioquia,Antioquia,explicit_zone_alias,False,web,web,trim_unicode_casefold,False,Solicitó información de eficiencia energética para planta nueva.,Solicitó información de eficiencia energética para planta nueva.,trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-11,2026-09-11,iso_date,False
34,Manufacturas Guadalupe S. en C.,994090847-6,Servicios profesionales,80,15184000000,Medellín,antioquia,evento,Llamar únicamente después de las 2 pm.,Nuevo,2026-09-13,35,34,34,trim_unicode_nfc,False,Manufacturas Guadalupe S. en C.,Manufacturas Guadalupe S. en C.,trim_unicode_nfc,False,994090847-6,9940908476,nit_remove_formatting,False,Servicios profesionales,servicios profesionales,trim_unicode_casefold,False,80,80,nonnegative_decimal,False,15184000000,15184000000,nonnegative_decimal,False,Medellín,Medellín,trim_unicode_nfc,False,antioquia,Antioquia,explicit_zone_alias,False,evento,evento,trim_unicode_casefold,False,Llamar únicamente después de las 2 pm.,Llamar únicamente después de las 2 pm.,trim_unicode_nfc,False,Nuevo,nuevo,trim_casefold_status,False,2026-09-13,2026-09-13,iso_date,False
