id,registro_id,usuario_id,tipo,fecha
125,130,8,reunión,2026-06-12
126,89,14,nota,2026-06-13
127,139,15,correo,2026-06-14
128,149,4,nota,2026-06-16
129,85,15,llamada,2026-06-18
130,105,11,cambio_estado,2026-06-19
131,125,14,llamada,2026-06-19
132,163,4,cambio_estado,2026-06-19
133,163,4,whatsapp,2026-06-19
134,72,18,cambio_estado,2026-06-20
135,150,8,llamada,2026-06-21
136,71,10,cotización,2026-06-22
137,116,4,correo,2026-06-23
138,125,14,cotización,2026-06-23
139,99,17,correo,2026-06-24
140,74,17,llamada,2026-06-25
141,76,18,reunión,2026-06-25
142,85,15,correo,2026-06-25
143,104,14,cotización,2026-06-25
144,76,18,cotización,2026-06-27
145,76,18,llamada,2026-06-28
146,110,18,whatsapp,2026-06-29
147,117,8,cotización,2026-07-02
148,100,14,reunión,2026-07-04
149,116,4,nota,2026-07-04
150,139,15,correo,2026-07-04
151,117,8,correo,2026-07-05
152,125,14,cambio_estado,2026-07-05
153,71,10,correo,2026-07-08
154,74,17,correo,2026-07-08
155,78,15,cotización,2026-07-11
156,98,8,whatsapp,2026-07-11
157,117,8,reunión,2026-07-11
158,162,14,correo,2026-07-12
159,70,8,whatsapp,2026-07-14
160,74,17,llamada,2026-07-15
161,90,13,cotización,2026-07-15
162,70,8,nota,2026-07-16
163,79,4,correo,2026-07-17
164,100,14,nota,2026-07-17
165,138,10,nota,2026-07-17
166,125,14,cotización,2026-07-18
167,71,10,whatsapp,2026-07-19
168,79,4,reunión,2026-07-20
169,161,8,llamada,2026-07-20
170,133,15,correo,2026-07-21
171,113,4,reunión,2026-07-22
172,157,8,llamada,2026-07-23
173,108,15,llamada,2026-07-24
174,76,18,nota,2026-07-25
175,82,3,cambio_estado,2026-07-25
176,162,14,nota,2026-07-26
177,92,10,cambio_estado,2026-07-27
178,133,15,reunión,2026-07-27
179,154,10,correo,2026-07-28
180,70,8,reunión,2026-07-29
181,78,15,correo,2026-07-29
182,138,10,correo,2026-07-29
183,162,14,whatsapp,2026-07-29
184,157,8,correo,2026-07-30
185,74,17,llamada,2026-07-31
186,78,15,cambio_estado,2026-07-31
187,137,3,whatsapp,2026-07-31
188,154,10,whatsapp,2026-07-31
189,69,10,llamada,2026-08-01
190,70,8,reunión,2026-08-02
191,101,16,cambio_estado,2026-08-02
192,113,4,reunión,2026-08-02
193,137,3,llamada,2026-08-02
194,157,8,reunión,2026-08-02
195,127,14,reunión,2026-08-03
196,138,10,cotización,2026-08-03
197,157,8,llamada,2026-08-03
198,98,8,correo,2026-08-04
199,129,18,correo,2026-08-05
200,136,4,llamada,2026-08-06
201,92,10,cotización,2026-08-07
202,129,18,cotización,2026-08-07
203,137,3,correo,2026-08-07
204,162,14,llamada,2026-08-08
205,107,8,cotización,2026-08-09
206,157,8,nota,2026-08-09
207,70,8,correo,2026-08-10
208,100,14,whatsapp,2026-08-10
209,113,4,nota,2026-08-11
210,115,7,reunión,2026-08-11
211,73,7,correo,2026-08-12
212,107,8,llamada,2026-08-12
213,127,14,llamada,2026-08-12
214,79,4,cambio_estado,2026-08-13
215,82,3,correo,2026-08-13
216,136,4,llamada,2026-08-13
217,82,3,correo,2026-08-14
218,92,10,nota,2026-08-14
219,113,4,llamada,2026-08-15
220,119,15,llamada,2026-08-15
221,79,4,llamada,2026-08-16
222,119,15,llamada,2026-08-16
223,108,15,correo,2026-08-17
224,113,4,reunión,2026-08-17
225,79,4,nota,2026-08-18
226,136,4,llamada,2026-08-18
227,108,15,llamada,2026-08-20
228,82,3,nota,2026-08-21
229,119,15,llamada,2026-08-21
230,137,3,whatsapp,2026-08-21
231,140,7,reunión,2026-08-21
232,127,14,correo,2026-08-22
233,127,14,cambio_estado,2026-08-22
234,138,10,cambio_estado,2026-08-22
235,154,10,llamada,2026-08-22
236,108,15,nota,2026-08-23
237,119,15,correo,2026-08-23
238,119,15,nota,2026-08-25
239,138,10,cotización,2026-08-25
240,92,10,cotización,2026-08-26
241,108,15,llamada,2026-08-26
242,137,3,correo,2026-08-26
243,127,14,cambio_estado,2026-08-27
244,148,4,cambio_estado,2026-08-27
245,107,8,correo,2026-08-30
246,140,7,llamada,2026-09-01
247,107,8,cambio_estado,2026-09-04
248,97,16,reunión,2026-09-05
249,129,18,llamada,2026-09-06
250,148,4,correo,2026-09-09
251,159,13,cotización,2026-09-10
252,87,18,correo,2026-09-16
253,97,16,cambio_estado,2026-09-16
254,97,16,cambio_estado,2026-09-16
255,97,16,reunión,2026-09-16
256,97,16,llamada,2026-09-16
257,103,4,llamada,2026-09-16
258,118,13,whatsapp,2026-09-16
259,141,6,llamada,2026-09-16
260,141,6,llamada,2026-09-16
261,153,8,whatsapp,2026-09-16
262,153,8,llamada,2026-09-16
263,153,8,llamada,2026-09-16
264,158,6,cambio_estado,2026-09-16
